Date,Team,Acquired,Relinquised,injury,severity,score
2016-01-01,76ers,,Hollis Thompson,corneal abrasion in right eye ,DTD,1
2016-01-01,Mavericks,,Devin Harris,back spasms ,DTD,1
2016-01-01,Wizards,,DeJuan Blair,sore right knee ,DTD,1
2016-01-01,Hornets,,Spencer Hawes,sore lower back ,DTD,1
2016-01-02,Celtics,,Avery Bradley,bruised left hip ,DTD,1
2016-01-02,Celtics,,R.J. Hunter,left shoulder subluxation ,DTD,1
2016-01-02,Hornets,,Nicolas Batum,sprained toe on right foot ,DTD,1
2016-01-02,Hornets,Jeremy Lin,,returned to lineup,,0
2016-01-02,Nuggets,,Kostas Papanikolaou,sprained left ankle ,DTD,1
2016-01-02,Nuggets,Jusuf Nurkic,,returned to lineup,,0
2016-01-02,Pacers,Jordan Hill,,returned to lineup,,0
2016-01-02,Pelicans,,Tyreke Evans,right knee tendinitis ,DTD,1
2016-01-02,Rockets,,Donatas Motiejunas,sore back ,DTD,1
2016-01-02,Spurs,Tim Duncan,,returned to lineup,,0
2016-01-02,Suns,Jon Leuer,,returned to lineup,,0
2016-01-02,Warriors,,Brandon Rush,tightness in right hamstring ,DTD,1
2016-01-02,Warriors,,James Michael McAdoo / James McAdoo (Michael),sprained toe on left foot ,DTD,1
2016-01-02,Warriors,Stephen Curry,,returned to lineup,,0
2016-01-02,Wizards,,Drew Gooden,strained right calf ,DTD,1
2016-01-02,Warriors,,Harrison Barnes,sprained left ankle ,,0
2016-01-03,Heat,Justise Winslow,,returned to lineup,,0
2016-01-03,Nets,,Jarrett Jack,torn ACL in right knee ,out for season,10
2016-01-03,Nuggets,Kostas Papanikolaou,,returned to lineup,,0
2016-01-03,Raptors,,Anthony Bennett,sore lower back ,DTD,1
2016-01-04,76ers,Hollis Thompson,,returned to lineup,,0
2016-01-04,Cavaliers,,Joe Harris,right foot injury ,,0
2016-01-04,Grizzlies,,Mike Conley Jr.,tightness in lower back ,DTD,1
2016-01-04,Heat,,Hassan Whiteside,knee injury ,DTD,1
2016-01-04,Hornets,Spencer Hawes,,returned to lineup,,0
2016-01-04,Kings,,Omri Casspi,sore upper back ,DTD,1
2016-01-04,Magic,,Elfrid Payton,bruised left ankle ,DTD,1
2016-01-04,Pacers,,George Hill,food poisoning ,DTD,1
2016-01-04,Rockets,,Donatas Motiejunas,sore back ,DTD,1
2016-01-04,Rockets,,Ty Lawson,sprained left ankle ,DTD,1
2016-01-04,Thunder,,Kevin Durant,toe injury ,DTD,1
2016-01-04,Warriors,,James Michael McAdoo / James McAdoo (Michael),sprained toe on left foot ,DTD,1
2016-01-04,Warriors,Brandon Rush,,returned to lineup,,0
2016-01-04,Warriors,Festus Ezeli,,returned to lineup,,0
2016-01-05,Bulls,Derrick Rose,,returned to lineup,,0
2016-01-05,Kings,,Duje Dukan,leg injury ,,0
2016-01-05,Kings,,Rajon Rondo,back spasms ,DTD,1
2016-01-05,Kings,,Willie Cauley-Stein,lacerated right middle finger ,DTD,1
2016-01-05,Warriors,,James Michael McAdoo / James McAdoo (Michael),sprained toe on left foot ,DTD,1
2016-01-06,Celtics,R.J. Hunter,,returned to lineup,,0
2016-01-06,Grizzlies,,Mike Conley Jr.,sore left Achilles tendon ,DTD,1
2016-01-06,Mavericks,,Wesley Matthews / Wes Matthews Jr.,rest ,DTD,1
2016-01-06,Mavericks,,Zaur Pachulia / Zaza Pachulia,rest ,DTD,1
2016-01-06,Pacers,George Hill,,returned to lineup,,0
2016-01-06,Pelicans,Tyreke Evans,,returned to lineup,,0
2016-01-06,Raptors,,Anthony Bennett,back injury ,DTD,1
2016-01-06,Raptors,,DeMarre Carroll,arthroscopic surgery on right knee ,out indefinitely,8
2016-01-06,Wizards,DeJuan Blair,,returned to lineup,,0
2016-01-06,Wizards,Gary Neal,,returned to lineup,,0
2016-01-07,Jazz,,Rodney Hood,right ankle injury ,DTD,1
2016-01-07,Kings,Rajon Rondo,,returned to lineup,,0
2016-01-07,Rockets,,Dwight Howard,soreness/stiffness in lower back ,DTD,1
2016-01-07,Rockets,Ty Lawson,,returned to lineup,,0
2016-01-08,Bucks,,Miles Plumlee,sore left knee ,DTD,1
2016-01-08,Bucks,,Tyler Ennis,illness ,DTD,1
2016-01-08,Grizzlies,,Courtney Lee,bruised left hip ,DTD,1
2016-01-08,Lakers,,D'Angelo Russell,sprained right ankle ,DTD,1
2016-01-08,Mavericks,Zaur Pachulia / Zaza Pachulia,,returned to lineup,,0
2016-01-08,Pelicans,,Anthony Davis,bruised back ,DTD,1
2016-01-08,Wizards,Drew Gooden,,returned to lineup,,0
2016-01-08,Grizzlies,,Jarell Martin,bone bruise in left foot ,DTD,1
2016-01-09,Hawks,,Jeff Teague,ankle injury ,DTD,1
2016-01-09,Hawks,,Thabo Sefolosha,sore right wrist ,DTD,1
2016-01-09,Heat,,Tyler Johnson,sore shoulder ,DTD,1
2016-01-09,Kings,,James Anderson,strained left hamstring ,DTD,1
2016-01-09,Kings,Willie Cauley-Stein,,returned to lineup,,0
2016-01-09,Lakers,,Brandon Bass,corneal abrasion in right eye ,DTD,1
2016-01-09,Nuggets,,Jameer Nelson,strained hip flexor ,DTD,1
2016-01-09,Pistons,,Marcus Morris,left knee tendinitis ,DTD,1
2016-01-09,Wizards,,Nene / Nene Hilario / Maybyner Hilario,strained right triceps ,DTD,1
2016-01-10,Bucks,,O.J. Mayo,sore left hamstring ,DTD,1
2016-01-10,Bucks,Miles Plumlee,,returned to lineup,,0
2016-01-10,Bucks,Tyler Ennis,,returned to lineup,,0
2016-01-10,Hornets,Nicolas Batum,,returned to lineup,,0
2016-01-10,Jazz,Rodney Hood,,returned to lineup,,0
2016-01-10,Lakers,,Kobe Bryant,strained right Achilles ,DTD,1
2016-01-10,Rockets,Dwight Howard,,returned to lineup,,0
2016-01-11,Heat,,Hassan Whiteside,knee injury ,DTD,1
2016-01-11,Heat,Tyler Johnson,,returned to lineup,,0
2016-01-11,Pelicans,,Quincy Pondexter,surgery on left knee to repair cartilage damage ,out for season,10
2016-01-11,Wizards,,Marcin Gortat,sore left knee ,DTD,1
2016-01-11,Wizards,Nene / Nene Hilario / Maybyner Hilario,,returned to lineup,,0
2016-01-12,Bucks,O.J. Mayo,,returned to lineup,,0
2016-01-12,Clippers,,DeAndre Jordan,pneumonia ,DTD,1
2016-01-12,Grizzlies,,Matt Barnes,bruised right thumb ,DTD,1
2016-01-12,Grizzlies,Courtney Lee,,returned to lineup,,0
2016-01-12,Knicks,Louis Amundson / Lou Amundson,,returned to lineup,,0
2016-01-12,Lakers,Brandon Bass,,returned to lineup,,0
2016-01-12,Lakers,D'Angelo Russell,,returned to lineup,,0
2016-01-12,Lakers,Kobe Bryant,,returned to lineup,,0
2016-01-12,Pacers,,Rodney Stuckey,sprained right ankle/foot ,DTD,1
2016-01-12,Pistons,Marcus Morris,,returned to lineup,,0
2016-01-12,Suns,,Alex Len,sprained left hand ,DTD,1
2016-01-12,Suns,,Brandon Knight,food poisoning ,DTD,1
2016-01-12,Magic,,Joe Harris,surgery on right foot ,,0
2016-01-12,Magic,Joe Harris,,returned to lineup,,0
2016-01-13,Heat,Hassan Whiteside,,returned to lineup,,0
2016-01-13,Kings,James Anderson,,returned to lineup,,0
2016-01-13,Kings,Omri Casspi,,returned to lineup,,0
2016-01-13,Knicks,,Carmelo Anthony,sprained right ankle ,DTD,1
2016-01-13,Mavericks,,Deron Williams,rest ,DTD,1
2016-01-13,Mavericks,,Dirk Nowitzki,rest ,DTD,1
2016-01-13,Mavericks,,Zaur Pachulia / Zaza Pachulia,sore right Achilles ,DTD,1
2016-01-13,Nets,,Jarrett Jack,surgery on right knee to repair torn ligament ,out for season,10
2016-01-13,Pelicans,Anthony Davis,,returned to lineup,,0
2016-01-13,Warriors,,Draymond Green,rest ,DTD,1
2016-01-13,Wizards,Bradley Beal,,returned to lineup,,0
2016-01-14,76ers,,Jerami Grant,strained left calf ,DTD,1
2016-01-14,Bucks,,O.J. Mayo,sore left hamstring ,DTD,1
2016-01-14,Bulls,,Derrick Rose,left knee patellar tendinitis ,DTD,1
2016-01-14,Grizzlies,Matt Barnes,,returned to lineup,,0
2016-01-14,Heat,,Chris Andersen,sore left knee ,DTD,1
2016-01-14,Hornets,,Jeremy Lamb,sprained right big toe ,DTD,1
2016-01-14,Magic,Elfrid Payton,,returned to lineup,,0
2016-01-15,Bucks,,Jerryd Bayless,sprained left ankle ,DTD,1
2016-01-15,Bucks,,O.J. Mayo,sore left hamstring ,DTD,1
2016-01-15,Bulls,,Joakim Noah,separated left shoulder ,out for season,10
2016-01-15,Bulls,Derrick Rose,,returned to lineup,,0
2016-01-15,Hawks,Thabo Sefolosha,,returned to lineup,,0
2016-01-15,Heat,,Dwyane Wade,sore shoulder ,DTD,1
2016-01-15,Mavericks,Deron Williams,,returned to lineup,,0
2016-01-15,Mavericks,Zaur Pachulia / Zaza Pachulia,,returned to lineup,,0
2016-01-15,Suns,,Ronnie Price,surgery on right big toe to remove loose bodies ,out indefinitely,8
2016-01-15,Wizards,,Otto Porter Jr.,sore right hip ,DTD,1
2016-01-16,76ers,,Nik Stauskas,bruised left shoulder ,DTD,1
2016-01-16,Bucks,,O.J. Mayo,sore left hamstring ,DTD,1
2016-01-16,Jazz,,Trevor Booker,concussion ,DTD,1
2016-01-16,Suns,Brandon Knight,,returned to lineup,,0
2016-01-16,Wizards,,Drew Gooden,sore left / right ,,0
2016-01-17,Bulls,,Kirk Hinrich,bruised left quadricep ,DTD,1
2016-01-17,Heat,,Beno Udrih,strained neck ,DTD,1
2016-01-17,Heat,Dwyane Wade,,returned to lineup,,0
2016-01-17,Nuggets,,Jameer Nelson,sprained right wrist ,DTD,1
2016-01-17,Pacers,,Ian Mahinmi,sore left heel ,DTD,1
2016-01-17,Rockets,,Patrick Beverley,ankle injury ,DTD,1
2016-01-18,76ers,Jerami Grant,,returned to lineup,,0
2016-01-18,Clippers,DeAndre Jordan,,returned to lineup,,0
2016-01-18,Grizzlies,Mike Conley Jr.,,returned to lineup,,0
2016-01-18,Jazz,Trevor Booker,,returned to lineup,,0
2016-01-18,Knicks,,Kevin Seraphin,bruised right rib ,DTD,1
2016-01-18,Knicks,Carmelo Anthony,,returned to lineup,,0
2016-01-18,Nets,,Andrea Bargnani,sore right ankle ,DTD,1
2016-01-18,Pelicans,,Tyreke Evans,right knee injury ,DTD,1
2016-01-18,Rockets,Patrick Beverley,,returned to lineup,,0
2016-01-19,Bucks,,O.J. Mayo,sore left hamstring ,DTD,1
2016-01-19,Bulls,,Joakim Noah,surgery on left shoulder to repair separation ,out for season,10
2016-01-19,Knicks,,Lance Thomas,sore left knee ,DTD,1
2016-01-19,Pacers,Ian Mahinmi,,returned to lineup,,0
2016-01-19,Pelicans,,Eric Gordon,fractured right ring finger ,DTD,1
2016-01-19,Pelicans,Tyreke Evans,,returned to lineup,,0
2016-01-19,Suns,,Jon Leuer,lower back spasms ,DTD,1
2016-01-19,Suns,Alex Len,,returned to lineup,,0
2016-01-20,Heat,,Dwyane Wade,sore shoulder ,DTD,1
2016-01-20,Heat,,Hassan Whiteside,strained oblique ,DTD,1
2016-01-20,Knicks,Kevin Seraphin,,returned to lineup,,0
2016-01-20,Nets,Andrea Bargnani,,returned to lineup,,0
2016-01-20,Pelicans,,Eric Gordon,surgery to repair fractured right ring finger ,out indefinitely,8
2016-01-20,Rockets,,Patrick Beverley,sprained left ankle ,DTD,1
2016-01-20,Spurs,,(William) Tony Parker,right hip injury ,DTD,1
2016-01-21,Grizzlies,,Tony Allen,sore left knee ,DTD,1
2016-01-21,Heat,,Hassan Whiteside,hip injury ,DTD,1
2016-01-21,Hornets,,Cody Zeller,strained right shoulder ,DTD,1
2016-01-21,Hornets,,Nicolas Batum,sprained right toe ,DTD,1
2016-01-21,Kings,,Rudy Gay,bruised left heel ,DTD,1
2016-01-21,Rockets,,Dwight Howard,sprained left ankle ,DTD,1
2016-01-21,Suns,,Brandon Knight,strained left abductor ,,0
2016-01-21,Suns,,Markieff Morris,strained right shoulder ,DTD,1
2016-01-21,Suns,,Mirza Teletovic,sprained left ankle ,DTD,1
2016-01-21,Suns,,P.J. Tucker,bruised chest ,left game,4
2016-01-22,Bucks,,O.J. Mayo,sore left hamstring ,DTD,1
2016-01-22,Celtics,,Jordan Mickey,ankle injury ,already on IL,2
2016-01-22,Heat,,Hassan Whiteside,strained left hip ,DTD,1
2016-01-22,Heat,,Luol Deng,scratched eye ,DTD,1
2016-01-22,Heat,Dwyane Wade,,returned to lineup,,0
2016-01-22,Hornets,Jeremy Lamb,,returned to lineup,,0
2016-01-22,Pacers,,Ian Mahinmi,sprained left ankle ,DTD,1
2016-01-22,Rockets,,Montrezl Harrell,bruised shoulder ,DTD,1
2016-01-22,Thunder,,Steven Adams,sprained right elbow ,DTD,1
2016-01-22,Warriors,Steve Kerr,,returned as head coach,,0
2016-01-23,Bucks,,O.J. Mayo,sore left hamstring ,DTD,1
2016-01-23,Hornets,,Jeremy Lamb,sprained right big toe ,DTD,1
2016-01-23,Nuggets,,Kenneth Faried,sore left abductor / adductor ,DTD,1
2016-01-23,Pelicans,,Dante Cunningham,illness ,DTD,1
2016-01-23,Suns,Mirza Teletovic,,returned to lineup,,0
2016-01-23,Rockets,Montrezl Harrell,,returned to lineup,,0
2016-01-24,76ers,Nik Stauskas,,returned to lineup,,0
2016-01-24,Mavericks,,Jeremy Evans,sore shoulder ,DTD,1
2016-01-24,Rockets,Patrick Beverley,,returned to lineup,,0
2016-01-24,Spurs,,Tim Duncan,sore right knee ,DTD,1
2016-01-25,Bucks,Jason Kidd,,returned as head coach,,0
2016-01-25,Bulls,,E'Twaun Moore,strained right hamstring ,DTD,1
2016-01-25,Grizzlies,Tony Allen,,returned to lineup,,0
2016-01-25,Heat,Beno Udrih,,returned to lineup,,0
2016-01-25,Heat,Luol Deng,,returned to lineup,,0
2016-01-25,Jazz,Derrick Favors,,returned to lineup,,0
2016-01-25,Kings,Rudy Gay,,returned to lineup,,0
2016-01-25,Knicks,,Carmelo Anthony,sore left knee ,DTD,1
2016-01-25,Lakers,,Ryan Kelly,illness ,DTD,1
2016-01-25,Nuggets,Kenneth Faried,,returned to lineup,,0
2016-01-25,Pelicans,,Anthony Davis,concussion ,DTD,1
2016-01-25,Pelicans,Dante Cunningham,,returned to lineup,,0
2016-01-25,Thunder,,Andre Roberson,sprained right knee ,DTD,1
2016-01-25,Timberwolves,,Kevin Martin,sore right wrist ,DTD,1
2016-01-25,Wizards,Otto Porter Jr.,,returned to lineup,,0
2016-01-25,Grizzlies,Jarell Martin,,returned to lineup,,0
2016-01-26,76ers,,JaKarr Sampson,upper respiratory infection ,DTD,1
2016-01-26,Bucks,,O.J. Mayo,sore left hamstring ,DTD,1
2016-01-26,Clippers,,Blake Griffin,fractured right hand ,,0
2016-01-26,Kings,,Rudy Gay,left eye injury ,DTD,1
2016-01-26,Knicks,Lance Thomas,,returned to lineup,,0
2016-01-26,Pacers,Ian Mahinmi,,returned to lineup,,0
2016-01-26,Suns,Markieff Morris,,returned to lineup,,0
2016-01-26,Thunder,Steven Adams,,returned to lineup,,0
2016-01-27,Bulls,,Nikola Mirotic,surgery to remove appendix ,out indefinitely,8
2016-01-27,Hornets,,Jeremy Lin,sprained right ankle ,DTD,1
2016-01-27,Hornets,Nicolas Batum,,returned to lineup,,0
2016-01-27,Mavericks,,Dirk Nowitzki,rest ,DTD,1
2016-01-27,Nuggets,,Joffrey Lauvergne,infection in right toe ,DTD,1
2016-01-27,Rockets,Dwight Howard,,returned to lineup,,0
2016-01-27,Thunder,,Cameron Payne,concussion ,DTD,1
2016-01-28,Blazers,,Pat Connaughton,bone bruise in left ankle ,DTD,1
2016-01-28,Bucks,,John Henson,sore lower back ,DTD,1
2016-01-28,Bulls,,Nikola Mirotic,recovering from surgery to remove appendix ,DTD,1
2016-01-28,Bulls,E'Twaun Moore,,returned to lineup,,0
2016-01-28,Hawks,,Paul Millsap,sprained left ankle ,DTD,1
2016-01-28,Knicks,,Jose Calderon,sore right groin ,DTD,1
2016-01-28,Knicks,,Kristaps Porzingis,upper respiratory illness ,DTD,1
2016-01-28,Lakers,Ryan Kelly,,returned to lineup,,0
2016-01-28,Pelicans,,Tyreke Evans,right knee injury ,out for season,10
2016-01-29,Clippers,,Paul Pierce,rest ,DTD,1
2016-01-29,Knicks,Carmelo Anthony,,returned to lineup,,0
2016-01-29,Knicks,Kristaps Porzingis,,returned to lineup,,0
2016-01-29,Suns,Jon Leuer,,returned to lineup,,0
2016-01-30,76ers,JaKarr Sampson,,returned to lineup,,0
2016-01-30,Hornets,,Nicolas Batum,sprained right toe ,DTD,1
2016-01-30,Kings,,DeMarcus Cousins,sprained left ankle ,DTD,1
2016-01-30,Kings,,Marco Belinelli,gastroenteritis ,DTD,1
2016-01-30,Kings,Rudy Gay,,returned to lineup,,0
2016-01-30,Pacers,,Ian Mahinmi,sore lower back ,DTD,1
2016-01-30,Pelicans,Anthony Davis,,returned to lineup,,0
2016-01-30,Pistons,,Ersan Ilyasova,thigh injury ,DTD,1
2016-01-30,Warriors,,Andre Iguodala,rest ,DTD,1
2016-01-31,Bulls,Kirk Hinrich,,returned to lineup,,0
2016-01-31,Hornets,Jeremy Lin,,returned to lineup,,0
2016-01-31,Suns,,T.J. Warren,fractured right foot ,out for season,10
2016-01-31,Warriors,Andre Iguodala,,returned to lineup,,0
2016-02-01,Grizzlies,,Matt Barnes,right hamstring injury ,DTD,1
2016-02-01,Kings,,Ben McLemore,sore/sprained right wrist ,DTD,1
2016-02-01,Kings,Marco Belinelli,,returned to lineup,,0
2016-02-01,Mavericks,,Deron Williams,bruised hip ,DTD,1
2016-02-01,Pistons,Ersan Ilyasova,,returned to lineup,,0
2016-02-02,Blazers,Pat Connaughton,,returned to lineup,,0
2016-02-02,Rockets,,Clint Capela,strained left hip flexor ,DTD,1
2016-02-02,Rockets,,Montrezl Harrell,illness ,DTD,1
2016-02-03,Bulls,,Jimmy Butler,left knee tendinitis ,DTD,1
2016-02-03,Heat,,Tyler Johnson,surgery on left shoulder ,out indefinitely,8
2016-02-03,Hornets,,Kemba Walker,sore left knee ,DTD,1
2016-02-03,Hornets,Jeremy Lamb,,returned to lineup,,0
2016-02-03,Hornets,Nicolas Batum,,returned to lineup,,0
2016-02-03,Kings,Ben McLemore,,returned to lineup,,0
2016-02-03,Kings,DeMarcus Cousins,,returned to lineup,,0
2016-02-03,Nuggets,,Darrell Arthur,sore left quadricep ,DTD,1
2016-02-04,Pistons,,Kentavious Caldwell-Pope,strained groin ,,0
2016-02-04,Rockets,Clint Capela,,returned to lineup,,0
2016-02-04,Spurs,,Emanuel Ginobili / Manu Ginobili,surgery to repair testicle injury ,out indefinitely,8
2016-02-04,Rockets,,Sam Dekker,sore lower back ,DTD,1
2016-02-05,Bulls,,Pau Gasol,sprained left hand ,DTD,1
2016-02-05,Bulls,Jimmy Butler,,returned to lineup,,0
2016-02-05,Clippers,,Austin Rivers,fractured left hand ,DTD,1
2016-02-05,Grizzlies,Matt Barnes,,returned to lineup,,0
2016-02-05,Hornets,Kemba Walker,,returned to lineup,,0
2016-02-05,Knicks,,Lance Thomas,concussion ,DTD,1
2016-02-05,Magic,,Tobias Harris,sore left ankle ,DTD,1
2016-02-06,76ers,,Ishmael Smith / Ish Smith,sprained left ankle ,DTD,1
2016-02-06,Blazers,,Allen Crabbe,illness ,DTD,1
2016-02-06,Bulls,,Jimmy Butler,sprained left knee ,DTD,1
2016-02-06,Bulls,Pau Gasol,,returned to lineup,,0
2016-02-06,Cavaliers,,Kevin Love,bruised left quadriceps ,DTD,1
2016-02-06,Jazz,,Trey Burke,flu ,DTD,1
2016-02-06,Pacers,Ian Mahinmi,,returned to lineup,,0
2016-02-06,Rockets,,Sam Dekker,sore lower back ,DTD,1
2016-02-06,Rockets,Montrezl Harrell,,returned to lineup,,0
2016-02-06,Spurs,,Matt Bonner,sore/strained left calf ,DTD,1
2016-02-07,Kings,,Ben McLemore,sprained right wrist ,DTD,1
2016-02-07,Kings,,Rudy Gay,sprained left ankle ,DTD,1
2016-02-08,76ers,Ishmael Smith / Ish Smith,,returned to lineup,,0
2016-02-08,Bulls,,Derrick Rose,general soreness ,DTD,1
2016-02-08,Cavaliers,Kevin Love,,returned to lineup,,0
2016-02-08,Clippers,,Paul Pierce,rest ,DTD,1
2016-02-08,Grizzlies,,Marc Gasol,fractured right foot ,out for season,10
2016-02-08,Kings,Rudy Gay,,returned to lineup,,0
2016-02-08,Nets,,Sergey Karasev,illness ,DTD,1
2016-02-08,Warriors,,Festus Ezeli,surgery on left knee to remove loose bodies ,out indefinitely,8
2016-02-09,Nets,,Willie Reed,sore groin ,,0
2016-02-09,Rockets,,Sam Dekker,sore lower back ,DTD,1
2016-02-09,Spurs,,Kyle Anderson,illness ,DTD,1
2016-02-09,Spurs,,Matt Bonner,strained left calf ,DTD,1
2016-02-10,76ers,,Nerlens Noel,right knee patella tendinitis ,DTD,1
2016-02-10,Bulls,Derrick Rose,,returned to lineup,,0
2016-02-10,Magic,,Jason Smith,back spasms ,DTD,1
2016-02-10,Nets,Sergey Karasev,,returned to lineup,,0
2016-02-10,Pistons,,Ersan Ilyasova,illness ,DTD,1
2016-02-10,Pistons,,Reggie Bullock,fractured nose ,DTD,1
2016-02-10,Pistons,,Reggie Jackson (b),illness ,DTD,1
2016-02-10,Pistons,,Spencer Dinwiddie,sore ankle ,DTD,1
2016-02-10,Spurs,,(William) Tony Parker,left ankle injury ,DTD,1
2016-02-10,Spurs,Kyle Anderson,,returned to lineup,,0
2016-02-11,Hornets,,Michael Kidd-Gilchrist,torn labrum in right shoulder ,out for season,10
2016-02-11,Pelicans,,Tyreke Evans,surgery on right knee ,out for season,10
2016-02-16,Hawks,,Tiago Splitter,surgery on right hip ,,0
2016-02-17,Heat,,Chris Bosh,blood clots ,out for season,10
2016-02-18,Bucks,,Jerryd Bayless,hyperextended knee ,DTD,1
2016-02-18,Celtics,,Kelly Olynyk,bruised right shoulder ,DTD,1
2016-02-18,Clippers,,Pablo Prigioni,illness ,DTD,1
2016-02-18,Hornets,,Spencer Hawes,strained lower back ,DTD,1
2016-02-18,Jazz,Trey Burke,,returned to lineup,,0
2016-02-18,Spurs,,Kawhi Leonard,tightness in left calf ,DTD,1
2016-02-18,Spurs,(William) Tony Parker,,returned to lineup,,0
2016-02-18,Timberwolves,,Nemanja Bjelica,sore/strained right foot ,DTD,1
2016-02-19,76ers,Nerlens Noel,,returned to lineup,,0
2016-02-19,Bucks,,Jerryd Bayless,sprained left knee ,DTD,1
2016-02-19,Heat,,Dwyane Wade,sore left knee ,DTD,1
2016-02-19,Kings,,Marco Belinelli,tooth extraction ,DTD,1
2016-02-19,Kings,,Omri Casspi,wisdom tooth extraction ,DTD,1
2016-02-19,Kings,Ben McLemore,,returned to lineup,,0
2016-02-19,Magic,Ersan Ilyasova,,returned to lineup,,0
2016-02-19,Magic,Jason Smith,,returned to lineup,,0
2016-02-19,Nuggets,Darrell Arthur,,returned to lineup,,0
2016-02-19,Pacers,,C.J. Miles,illness ,DTD,1
2016-02-19,Pistons,Kentavious Caldwell-Pope,,returned to lineup,,0
2016-02-19,Pistons,Reggie Bullock,,returned to lineup,,0
2016-02-19,Pistons,Reggie Jackson (b),,returned to lineup,,0
2016-02-19,Rockets,,Donatas Motiejunas,back injury ,DTD,1
2016-02-19,Suns,,Alex Len,sprained right ankle ,DTD,1
2016-02-19,Timberwolves,Kevin Martin,,returned to lineup,,0
2016-02-19,Rockets,Sam Dekker,,returned to lineup ,CBC,1
2016-02-19,Mavericks,,John Jenkins,undisclosed ,,0
2016-02-20,Clippers,Pablo Prigioni,,returned to lineup,,0
2016-02-20,Warriors,,Andrew Bogut,strained right Achilles ,DTD,1
2016-02-21,Cavaliers,,Iman Shumpert,sprained left shoulder ,DTD,1
2016-02-21,Cavaliers,,Maurice Williams / Mo Williams,knee injury ,DTD,1
2016-02-21,Grizzlies,,Tony Allen,sore left knee ,DTD,1
2016-02-21,Mavericks,John Jenkins,,returned to lineup,,0
2016-02-21,Pacers,C.J. Miles,,returned to lineup,,0
2016-02-21,Suns,,Tyson Chandler,bruised right shoulder ,DTD,1
2016-02-21,Suns,Alex Len,,returned to lineup,,0
2016-02-22,Heat,Dwyane Wade,,returned to lineup,,0
2016-02-22,Pacers,,C.J. Miles,strained left calf ,DTD,1
2016-02-22,Pistons,,Anthony Tolliver,sprained MCL in right knee ,DTD,1
2016-02-22,Warriors,Andrew Bogut,,returned to lineup,,0
2016-02-23,Grizzlies,,Marc Gasol,surgery on right foot to repair fracture ,out for season,10
2016-02-23,Kings,Marco Belinelli,,returned to lineup,,0
2016-02-23,Kings,Omri Casspi,,returned to lineup,,0
2016-02-23,Nuggets,,Jusuf Nurkic,knee injury ,DTD,1
2016-02-23,Pelicans,,Omer Asik,sprained right ankle ,DTD,1
2016-02-24,76ers,,T.J. McConnell,sprained right ankle ,DTD,1
2016-02-24,Bulls,,Derrick Rose,right hamstring tendinitis ,DTD,1
2016-02-24,Cavaliers,Maurice Williams / Mo Williams,,returned to lineup,,0
2016-02-24,Pistons,,Stanley Johnson,sprained right shoulder ,DTD,1
2016-02-24,Spurs,Kawhi Leonard,,returned to lineup,,0
2016-02-24,Heat,,Beno Udrih,torn plantar plate in right foot ,DTD,1
2016-02-24,Heat,,Beno Udrih,surgery on right foot to repair torn plantar plate ,,0
2016-02-25,Cavaliers,,Maurice Williams / Mo Williams,left knee chondromalacia ,DTD,1
2016-02-25,Pelicans,,Bryce Dejean-Jones,fractured right wrist ,,0
2016-02-25,Rockets,,Clint Capela,sprained right ankle / foot ,,0
2016-02-25,Suns,Tyson Chandler,,returned to lineup,,0
2016-02-26,76ers,T.J. McConnell,,returned to lineup,,0
2016-02-26,Cavaliers,,Maurice Williams / Mo Williams,left knee injury ,DTD,1
2016-02-26,Cavaliers,Iman Shumpert,,returned to lineup,,0
2016-02-26,Kings,,Rajon Rondo,right thumb tendinitis ,DTD,1
2016-02-27,Heat,,Beno Udrih,recovering from surgery on right foot to repair torn plantar plate ,DTD,1
2016-02-27,Heat,,Udonis Haslem,illness ,DTD,1
2016-02-27,Pelicans,,Anthony Davis,right big toe injury ,DTD,1
2016-02-28,76ers,,Hollis Thompson,upper respiratory infection ,DTD,1
2016-02-28,Bucks,,Steve Novak,sprained MCL in left knee ,out for season,10
2016-02-28,Cavaliers,,LeBron James,rest ,DTD,1
2016-02-28,Knicks,,Arron Afflalo,knee injury ,DTD,1
2016-02-28,Knicks,,Louis Amundson / Lou Amundson,upper respiratory illness ,,0
2016-02-28,Raptors,,Kyle Lowry,rest ,DTD,1
2016-02-29,76ers,,Jahlil Okafor,bruised right shin ,DTD,1
2016-02-29,Bucks,,Michael Carter-Williams,patella tendinitis in left knee ,DTD,1
2016-02-29,Bucks,Jerryd Bayless,,returned to lineup,,0
2016-02-29,Cavaliers,,Kevin Love,sore leg ,DTD,1
2016-02-29,Cavaliers,LeBron James,,returned to lineup,,0
2016-02-29,Clippers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,lacerated left eyelid ,DTD,1
2016-02-29,Kings,,Rudy Gay,strained right shoulder ,DTD,1
2016-02-29,Kings,,Seth Curry,sprained right foot ,DTD,1
2016-02-29,Kings,Rajon Rondo,,returned to lineup,,0
2016-02-29,Heat,Beno Udrih,,returned to lineup,,0
2016-03-01,Bulls,Derrick Rose,,returned to lineup,,0
2016-03-01,Heat,Udonis Haslem,,returned to lineup,,0
2016-03-01,Knicks,Arron Afflalo,,returned to lineup,,0
2016-03-01,Warriors,,Stephen Curry,left ankle injury ,DTD,1
2016-03-02,76ers,,Elton Brand,gastroenteritis ,,0
